DateTime,Class
2023-09-08 01:08:15.135571,[1]
2023-09-08 01:08:18.135571,[1]
2023-09-08 01:08:21.135571,[1]
2023-09-08 01:08:24.135571,[1]
2023-09-08 01:08:27.135571,[0]
2023-09-08 01:08:30.135571,[0]
2023-09-08 01:08:33.135571,[0]
2023-09-08 01:08:36.135571,[0]
2023-09-08 01:08:39.135571,[0]
2023-09-08 01:08:42.135571,[1]
2023-09-08 01:08:45.135571,[1]
2023-09-08 01:08:48.135571,[1]
2023-09-08 01:08:51.135571,[1]
2023-09-08 01:08:54.135571,[1]
2023-09-08 01:08:57.135571,[1]
2023-09-08 01:09:00.135571,[1]
2023-09-08 01:09:03.135571,[1]
2023-09-08 01:09:06.135571,[0]
2023-09-08 01:09:09.135571,[0]
2023-09-08 01:09:12.135571,[1]
2023-09-08 01:09:15.135571,[0]
2023-09-08 01:09:18.135571,[0]
2023-09-08 01:09:21.135571,[1]
